Workout_Hours_Per_Week,Calories_Burned_Avg,Sleep_Hours,BMI,Resting_Heart_Rate,Fitness_Level
4.7,316.0,5.8,27.0,80.0,Novice
3.6,342.0,6.0,30.3,74.0,Novice
5.6,533.0,6.5,25.3,74.0,Intermediate
12.6,814.0,8.6,18.7,56.0,Elite
1.9,286.0,6.1,30.5,87.0,Beginner
9.5,609.0,7.4,22.1,67.0,Advanced
2.1,247.0,5.4,26.0,90.0,Beginner
1.8,175.0,5.3,29.2,87.0,Beginner
9.7,732.0,7.5,21.4,67.0,Advanced
12.5,901.0,8.3,20.8,54.0,Elite
12.0,905.0,7.8,19.1,57.0,Elite
1.1,344.0,4.3,28.4,84.0,Beginner
2.1,180.0,5.8,28.2,82.0,Beginner
3.3,283.0,5.8,27.5,74.0,Novice
1.7,235.0,5.7,26.6,88.0,Beginner
6.8,482.0,7.3,24.4,77.0,Intermediate
3.4,312.0,6.2,21.6,80.0,Novice
2.3,224.0,6.1,25.5,79.0,Beginner
1.4,190.0,5.0,27.5,87.0,Beginner
6.7,535.0,5.9,22.4,75.0,Intermediate
9.8,630.0,6.9,24.7,67.0,Advanced
2.2,324.0,5.0,25.8,82.0,Beginner
3.4,405.0,7.2,28.1,71.0,Novice
4.5,424.0,6.8,25.3,78.0,Novice
13.5,782.0,8.4,23.2,58.0,Elite
14.1,759.0,7.9,21.5,56.0,Elite
4.2,344.0,6.2,29.8,77.0,Novice
5.7,533.0,8.1,24.0,80.0,Intermediate
4.4,347.0,6.5,25.6,72.0,Novice
1.9,251.0,5.6,31.7,90.0,Beginner
2.3,281.0,4.7,27.6,85.0,Beginner
4.0,382.0,5.5,24.2,80.0,Novice
10.0,703.0,8.6,20.0,69.0,Advanced
9.7,692.0,7.4,20.9,69.0,Advanced
3.9,381.0,5.8,26.8,75.0,Novice
3.6,338.0,4.8,27.3,82.0,Novice
4.9,336.0,5.8,23.6,79.0,Novice
6.2,480.0,6.9,26.6,67.0,Intermediate
11.9,805.0,7.7,19.4,54.0,Elite
3.7,239.0,4.7,29.6,88.0,Beginner
13.2,933.0,8.7,18.5,66.0,Elite
2.6,106.0,5.3,27.8,87.0,Beginner
7.5,750.0,7.2,24.6,64.0,Advanced
1.7,137.0,5.3,31.0,81.0,Beginner
1.7,154.0,5.1,31.8,88.0,Beginner
1.6,296.0,4.6,31.3,87.0,Beginner
4.0,304.0,6.7,28.1,83.0,Novice
8.6,689.0,7.9,20.7,63.0,Advanced
9.5,660.0,7.6,22.7,66.0,Advanced
6.4,453.0,7.3,26.1,70.0,Intermediate
6.7,489.0,6.0,22.7,78.0,Intermediate
8.2,593.0,7.1,19.9,65.0,Advanced
12.3,830.0,8.5,21.3,57.0,Elite
12.2,857.0,8.1,21.2,56.0,Elite
14.3,771.0,8.0,19.6,58.0,Elite
5.0,307.0,6.1,23.2,74.0,Novice
4.0,379.0,5.7,29.1,74.0,Novice
12.0,769.0,8.5,20.1,55.0,Elite
1.7,188.0,5.5,26.7,89.0,Beginner
10.1,609.0,7.4,21.0,64.0,Advanced
5.4,341.0,5.9,27.6,81.0,Novice
9.7,678.0,8.1,20.4,67.0,Advanced
14.2,830.0,7.9,22.7,59.0,Elite
1.3,243.0,6.5,30.1,86.0,Beginner
2.3,215.0,4.1,27.6,86.0,Beginner
10.3,683.0,7.4,23.8,66.0,Advanced
3.0,205.0,5.5,29.8,90.0,Beginner
13.5,831.0,7.5,19.7,61.0,Elite
4.9,477.0,6.3,25.7,75.0,Intermediate
4.4,288.0,5.4,29.7,78.0,Novice
4.4,289.0,6.4,27.5,79.0,Novice
13.4,915.0,7.5,18.8,58.0,Elite
13.4,865.0,7.9,21.2,54.0,Elite
2.4,228.0,4.4,23.0,80.0,Beginner
4.3,300.0,5.6,27.1,79.0,Novice
5.1,455.0,5.3,25.4,77.0,Novice
7.4,505.0,7.6,24.3,70.0,Intermediate
10.0,690.0,6.3,19.0,68.0,Advanced
12.4,849.0,8.0,18.9,59.0,Elite
2.7,233.0,6.1,25.4,89.0,Beginner
4.3,328.0,6.9,26.9,78.0,Novice
7.2,454.0,7.1,27.2,69.0,Intermediate
3.8,434.0,7.2,25.6,73.0,Intermediate
2.7,179.0,5.8,26.4,90.0,Beginner
13.9,894.0,8.3,20.4,59.0,Elite
3.3,277.0,7.5,26.6,66.0,Novice
4.3,328.0,6.7,26.1,80.0,Novice
9.6,640.0,7.8,21.6,66.0,Advanced
7.0,470.0,7.2,23.1,76.0,Intermediate
3.1,232.0,4.6,21.6,83.0,Beginner
4.7,321.0,5.6,27.8,73.0,Novice
9.9,693.0,7.3,20.9,67.0,Advanced
9.2,717.0,7.5,19.6,69.0,Advanced
2.9,398.0,6.2,24.1,77.0,Novice
8.1,693.0,7.1,20.0,66.0,Advanced
9.4,669.0,7.0,23.1,61.0,Advanced
12.6,763.0,7.8,19.9,61.0,Elite
12.5,713.0,8.6,19.6,59.0,Elite
13.5,840.0,7.9,20.5,60.0,Elite
13.0,879.0,7.5,19.4,53.0,Elite
2.0,200.0,5.6,28.9,81.0,Beginner
13.2,778.0,7.0,20.2,59.0,Elite
9.7,737.0,8.3,22.5,68.0,Advanced
3.7,286.0,6.0,24.3,76.0,Novice
12.7,730.0,8.5,21.4,59.0,Elite
2.0,263.0,4.8,31.9,94.0,Beginner
2.1,264.0,5.1,28.3,90.0,Beginner
2.2,221.0,5.7,26.5,80.0,Beginner
14.9,859.0,8.1,19.8,60.0,Elite
11.5,880.0,8.3,17.0,57.0,Elite
2.7,242.0,5.6,26.3,85.0,Beginner
1.6,215.0,5.7,30.8,82.0,Beginner
13.7,857.0,7.9,17.7,55.0,Elite
6.8,489.0,7.0,25.2,66.0,Intermediate
6.2,462.0,7.1,24.9,74.0,Intermediate
12.5,781.0,8.1,19.2,61.0,Elite
13.8,848.0,8.1,19.8,55.0,Elite
10.9,654.0,7.6,22.3,64.0,Advanced
5.6,550.0,6.6,26.6,69.0,Intermediate
2.1,197.0,6.0,25.4,79.0,Beginner
3.4,301.0,6.2,25.7,79.0,Novice
1.2,237.0,6.1,28.4,84.0,Beginner
11.2,755.0,8.1,19.8,55.0,Elite
4.0,389.0,6.0,23.2,77.0,Novice
4.4,293.0,5.4,27.2,76.0,Novice
12.7,866.0,7.5,20.1,56.0,Elite
7.3,466.0,6.8,22.8,70.0,Intermediate
14.0,842.0,8.4,22.7,60.0,Elite
8.8,693.0,7.2,23.1,69.0,Advanced
6.6,422.0,5.8,27.5,71.0,Intermediate
8.1,684.0,8.0,22.3,62.0,Advanced
8.9,699.0,7.7,21.2,70.0,Advanced
13.0,823.0,8.2,18.5,57.0,Elite
1.1,262.0,5.8,25.8,87.0,Beginner
9.1,700.0,7.0,22.9,72.0,Advanced
14.2,783.0,7.4,19.9,59.0,Elite
2.6,216.0,5.9,27.5,87.0,Beginner
9.9,728.0,7.3,20.7,60.0,Advanced
1.9,192.0,5.3,29.6,87.0,Beginner
7.0,472.0,5.8,22.5,70.0,Intermediate
6.8,476.0,6.5,25.9,65.0,Intermediate
8.0,698.0,8.1,20.5,61.0,Advanced
1.2,206.0,4.5,32.4,84.0,Beginner
12.7,851.0,7.9,20.2,62.0,Elite
6.5,499.0,6.5,25.9,71.0,Intermediate
2.5,250.0,5.7,26.1,78.0,Beginner
9.6,577.0,7.9,19.8,65.0,Advanced
10.7,728.0,6.7,22.0,64.0,Advanced
1.9,172.0,5.4,28.5,87.0,Beginner
5.9,483.0,6.5,25.4,73.0,Intermediate
5.4,397.0,5.3,29.2,83.0,Novice
14.2,872.0,7.7,18.9,62.0,Elite
6.6,503.0,6.3,21.0,73.0,Intermediate
3.9,387.0,6.7,25.0,78.0,Novice
9.9,656.0,8.0,22.9,66.0,Advanced
9.3,584.0,6.9,25.5,63.0,Advanced
10.6,671.0,7.3,17.9,62.0,Advanced
1.2,141.0,5.6,28.0,85.0,Beginner
7.3,479.0,6.8,27.4,67.0,Intermediate
1.0,248.0,5.4,26.4,88.0,Beginner
10.2,627.0,7.2,21.7,59.0,Advanced
7.5,469.0,7.3,25.2,78.0,Intermediate
6.6,500.0,6.3,24.0,72.0,Intermediate
3.5,250.0,5.9,24.1,83.0,Novice
1.8,245.0,5.2,25.5,83.0,Beginner
3.4,334.0,5.8,26.7,76.0,Novice
4.6,342.0,5.2,29.4,76.0,Novice
9.8,658.0,7.6,21.5,59.0,Advanced
10.1,646.0,7.2,22.7,67.0,Advanced
4.9,354.0,5.0,23.7,84.0,Novice
1.8,208.0,5.4,29.4,86.0,Beginner
2.7,234.0,5.9,28.2,82.0,Beginner
1.0,182.0,5.0,27.1,83.0,Beginner
2.2,248.0,6.2,26.4,82.0,Beginner
4.6,355.0,6.4,25.6,78.0,Novice
14.6,788.0,8.3,19.0,63.0,Elite
5.4,562.0,7.1,25.3,71.0,Intermediate
12.6,819.0,8.3,20.7,57.0,Elite
1.8,243.0,6.3,26.2,86.0,Beginner
3.7,356.0,5.3,24.0,75.0,Novice
6.1,428.0,6.0,25.8,66.0,Intermediate
11.9,754.0,8.6,22.5,57.0,Elite
6.5,508.0,6.1,25.1,74.0,Intermediate
9.5,742.0,7.2,24.1,68.0,Advanced
7.2,481.0,7.6,22.1,77.0,Intermediate
13.5,887.0,7.6,22.8,55.0,Elite
8.6,702.0,7.7,20.7,57.0,Advanced
12.7,844.0,7.9,21.5,61.0,Elite
5.2,339.0,7.3,26.7,78.0,Novice
6.8,448.0,7.6,24.8,70.0,Intermediate
12.6,815.0,7.6,19.9,61.0,Elite
12.2,887.0,7.6,21.7,60.0,Elite
3.6,331.0,6.1,27.0,80.0,Novice
1.7,172.0,5.1,28.9,87.0,Beginner
12.6,821.0,8.7,19.3,56.0,Elite
9.0,743.0,7.7,21.3,65.0,Advanced
12.9,892.0,8.1,20.4,62.0,Elite
8.1,707.0,8.4,23.5,58.0,Advanced
9.0,749.0,7.3,22.0,71.0,Advanced
8.8,701.0,6.7,23.3,61.0,Advanced
9.2,666.0,7.4,23.1,62.0,Advanced
5.1,350.0,5.3,27.4,79.0,Novice
8.9,631.0,7.8,22.4,72.0,Advanced
8.7,652.0,7.2,19.6,68.0,Advanced
12.5,873.0,8.3,22.0,57.0,Elite
6.7,474.0,6.2,22.0,74.0,Intermediate
1.8,197.0,6.0,27.3,83.0,Beginner
9.7,612.0,8.0,22.7,73.0,Advanced
5.9,521.0,6.9,24.7,71.0,Intermediate
3.4,408.0,5.0,24.7,82.0,Novice
6.8,482.0,5.9,23.6,71.0,Intermediate
6.2,543.0,6.6,23.4,78.0,Intermediate
7.4,439.0,7.2,25.5,67.0,Intermediate
13.9,821.0,8.2,21.4,61.0,Elite
3.8,343.0,6.5,23.3,76.0,Novice
9.8,661.0,8.2,22.0,71.0,Advanced
2.9,359.0,5.0,26.2,72.0,Novice
12.7,781.0,7.4,20.1,61.0,Elite
7.7,502.0,7.5,22.7,73.0,Intermediate
8.3,727.0,8.2,21.8,65.0,Advanced
3.6,323.0,5.4,29.9,81.0,Novice
9.9,638.0,7.5,24.3,69.0,Advanced
13.2,988.0,8.8,19.8,63.0,Elite
6.7,483.0,7.4,25.1,71.0,Intermediate
10.2,662.0,7.2,22.1,62.0,Advanced
10.2,713.0,7.4,22.7,63.0,Advanced
3.9,345.0,5.9,25.9,74.0,Novice
13.6,931.0,8.0,21.0,55.0,Elite
5.9,522.0,7.1,22.3,73.0,Intermediate
10.0,720.0,6.8,22.3,63.0,Advanced
4.2,337.0,6.2,29.6,79.0,Novice
5.7,519.0,6.2,25.4,73.0,Intermediate
4.7,332.0,6.6,28.7,82.0,Novice
13.4,846.0,7.8,21.6,61.0,Elite
2.3,198.0,6.7,24.4,81.0,Beginner
10.0,637.0,7.8,21.4,65.0,Advanced
9.8,645.0,7.8,22.6,64.0,Advanced
6.8,503.0,7.1,25.1,75.0,Intermediate
